Country,GEff,Pstab,HAQ,GDP,LD,ED,GDP_L5,GDP_L10,LD_L5,LD_L10,ED_L5,ED_L10,Pstab_L5,Pstab_L10,GEff_L5,GEff_L10,HAQ_L5,HAQ_L10
Austria,91.83,82.86,88.2,57.05,0.76,0.85,47.93,39.38,0.8,0.8,0.88,0.88,96.2,98.6,92.9,94.7,86.1,84.2
Belgium,80.77,61.9,87.9,52.66,0.82,0.89,43.67,36.75,0.83,0.82,0.9,0.89,77.7,67.8,94.8,87.9,86.3,84.6
Bulgaria,65.38,66.19,71.4,22.91,0.52,0.61,16.59,12.79,0.56,0.63,0.67,0.72,53.1,56.3,58.3,53.4,67.9,66.7
Switzerland,99.52,94.76,91.8,71.71,0.86,0.9,62.23,51.14,0.86,0.85,0.9,0.89,98.1,94.7,98.1,98.5,90.1,88.2
Cyprus,78.85,63.33,85.3,40.47,0.76,0.86,30.38,32.84,0.76,0.75,0.86,0.86,64.9,68.8,88.2,89.8,82.6,79.2
Czechia,78.37,80.48,84.8,41.13,0.71,0.81,30.82,26.25,0.78,0.83,0.86,0.9,87.7,85.6,77.7,79.6,81.8,79.2
Germany,93.27,66.67,86.4,54.95,0.83,0.88,44.99,36.24,0.86,0.87,0.9,0.9,76.3,79.8,90.5,89.3,84.9,83.2
Denmark,99.04,83.81,85.7,57.46,0.89,0.91,46.73,38.96,0.89,0.89,0.92,0.92,80.1,86.1,99.1,99.5,83.6,81.9
Estonia,85.58,68.1,81.4,36.33,0.85,0.9,22.81,22.16,0.82,0.81,0.88,0.87,68.2,65.9,78.7,84,77.5,71.4
Spain,79.81,59.05,89.6,40.72,0.79,0.86,32.43,32.43,0.8,0.82,0.88,0.89,46.9,30.3,82.9,79.1,87.2,84.1
Finland,98.56,79.05,89.6,49.76,0.84,0.88,41.49,37.79,0.85,0.84,0.89,0.89,97.2,99.5,100,99,87.2,84.5
France,89.42,58.57,87.9,46.57,0.8,0.88,39.52,34.08,0.82,0.82,0.89,0.89,62.1,64.9,89.1,91.7,85.7,84.2
United Kingdom,90.38,63.81,84.6,47.14,0.81,0.87,39.93,35.5,0.8,0.81,0.87,0.88,63,61.1,91,93.2,82.7,80.6
Croatia,67.31,71.9,81.6,28.55,0.62,0.73,21.82,19.32,0.72,0.64,0.83,0.78,66.4,66.3,71.6,71.4,78.9,76.8
Hungary,70.19,71.43,79.6,31.83,0.39,0.49,24.49,19.04,0.58,0.78,0.73,0.86,70.6,71.2,71.1,75.2,76.1,73.7
Ireland,86.54,82.38,88.4,84.91,0.81,0.88,47.88,46.73,0.82,0.82,0.89,0.89,75.4,93.3,90,88.8,86,83.5
Iceland,92.31,99.52,93.6,58.22,0.8,0.88,44.41,41.41,0.79,0.81,0.86,0.89,94.3,94.2,89.6,96.6,92.1,89.8
Italy,69.23,60.95,88.7,43.12,0.79,0.87,36.31,34.09,0.79,0.77,0.86,0.86,64,65.4,69.2,64.6,87.5,85.5
Lithuania,81.25,72.24,76.6,36.34,0.76,0.82,26.72,19.07,0.78,0.78,0.84,0.83,80.6,70.7,74.4,73.3,73.6,70.2
Latvia,83.65,60,77.7,30.8,0.75,0.83,22.81,18.18,0.74,0.68,0.82,0.78,65.4,51.9,76.3,70.4,74.4,70.7
Montenegro,58.65,47.62,80.7,21.55,0.35,0.45,14.87,12.44,0.38,0.4,0.47,0.5,64.5,72.1,60.2,53.9,78.2,74.4
Netherlands,96.63,75.71,89.5,57.9,0.83,0.88,49.24,43.88,0.83,0.82,0.88,0.87,91,76.4,97.6,94.2,88.2,85.1
Norway,97.6,92.38,90.5,69.71,0.85,0.89,66.96,55.86,0.87,0.87,0.9,0.9,95.7,95.7,98.6,97.1,88,85.9
Poland,73.08,64.28,79.6,31.98,0.55,0.69,24.57,16.78,0.82,0.82,0.89,0.89,81.5,77.9,70.6,67.5,76.3,73.8
Portugal,84.13,90.95,84.5,34.93,0.84,0.89,27.93,25.7,0.82,0.83,0.88,0.89,68.7,81.3,83.9,82,81.9,79.7
Serbia,53.37,45.24,75.4,17.74,0.27,0.35,14.63,11.22,0.38,0.52,0.49,0.63,43.1,27.4,51.2,47.6,73.1,69.4
Sweden,97.12,86.67,90.5,53.55,0.88,0.91,46.13,40.85,0.89,0.88,0.92,0.91,90,90.4,97.2,98.1,88.7,87
Slovenia,82.21,73.81,87.4,38.92,0.77,0.84,29.97,27.54,0.79,0.75,0.86,0.83,74.4,91.3,79.6,85,84.3,79.8
Slovakia,74.04,72.38,78.6,31.5,0.7,0.81,28,21.19,0.73,0.74,0.84,0.83,89.1,87,73,77.7,74.9,72.2
