PeopleAllow,PeopleInfluence,Parliament,Legal,Police,Politicians,Parties,Economy,Democracy,Education,Health,FairChance,CitInterest,Transparent
11.396520874123812,4.2609198211591774,93.4099525474868,30.83322675725201,60.803469413610124,9.374649496112127,3.2850813833350703,9.761500288787836,40.10839696230871,1.0019765617627998,17.766959868166893,1,100,45.26042022678619
17.466318937948753,10.720466765032235,46.096842080066594,45.635150023151624,3.7962992807484617,71.68504543559048,38.937055831011676,26.895769043094113,62.2311838136205,7.359695670432954,17.60273618186101,1.3492573581779594,100,1
1,1.0025284543545323,29.120875188277292,13.376185555984952,1.968631458418713,75.35472610084642,53.10342809568671,63.3179818426325,100,9.152222506903719,1.1894744103627546,25.377991481274872,35.46449191927492,64.1184749840741
1.7554992770002342,1,71.2654637593157,45.26523201946527,23.067209708338552,50.52392912539781,39.62837016884331,17.35019975620065,66.93818675996208,33.78507483812772,100,4.93738118431925,83.72799014321883,27.172173537115945
21.213866063287234,31.73847250059657,11.567991890431703,5.120477501436968,1,32.63271361641648,33.326551564987426,59.09228708763615,91.43138062865259,87.1222657985644,11.467152817858125,3.56549005435261,100,16.544209911648874
27.77130256926993,5.539928470488435,60.00084454333415,92.2464726236047,1.044784193289703,26.948267046583084,24.174558062000532,100,59.34990786131068,1,9.434297701898425,37.16510970303367,34.44666102475217,8.00900170173852
9.201126219634286,18.440496671334248,62.416862921018996,37.01357729140531,18.45482977800989,77.15540123032939,1,27.917006802295692,46.25891648520294,3.35523801878657,32.06779132075003,2.8374652392726567,52.681002268712916,100
35.67794521793756,2.0754868189050444,100,41.815603101666404,1.5098356288927266,6.13778932724433,1.1264291226636265,9.196555179352385,34.70044222648531,1,40.594413398395744,1.0299212309318992,19.82174831056461,14.25028426876814
10.75184296139605,2.281727794130834,22.623807446747055,100,5.068985706146357,26.837380206177013,16.953943199696695,37.33617499259641,57.12824597390237,1.1652199201369458,3.4976256698348855,1,12.160390535594393,17.098556668772886
45.654839977094746,12.352858602084593,59.64049665955419,82.35937591664668,34.4540247793671,15.238856977437475,1,47.837086030027116,79.9419401726847,3.4270560608908864,11.825573987993675,100,77.0967392103737,43.93118327710476
1.3490104991222998,28.941511668245212,79.68060662427726,44.07610517896884,27.424780114080377,100,3.568599920262718,22.49926772121914,51.204955012041324,1,9.537523008623307,3.109454639659029,49.442282453394625,58.43092479421537
67.0255370713473,77.97871483736452,51.36562911466037,59.81536319592804,40.013539218535776,58.46113486261305,1.186953322195533,58.980478361285996,100,9.892894317794113,1,1.3121775507645954,41.00404959908023,96.78303337986372
59.03862430722217,6.321570947634702,83.66740120267504,100,1,11.183230097108591,17.407854189789735,9.748682542602301,61.819793724142606,7.259367782719579,1.1613519490296937,21.865947261678272,52.55332803871583,24.200252507138423
7.299118446811797,9.245918106772445,17.21032386948076,11.96885858735098,81.51150216265276,13.528881597439701,1,100,32.15067433456264,25.093052753796833,2.482692874111464,17.04119581621521,30.30860395753612,33.97946695888305
100,6.393084881313742,20.269242074453004,5.494389652055801,62.273987431715284,1,3.678427759678838,34.944285608132084,84.2097230247581,6.493205765315233,52.774766472651116,23.14485342476933,68.49083459470249,55.311343947276086
1.9664913574999863,17.60865359092804,56.298678871442405,21.730344320861928,26.927358277529688,79.2169342286105,27.464187230549314,18.990101373103442,71.66231942626095,5.799297546231111,100,1,35.902546872796215,22.1311698961689
1,1.355537297397442,63.46718251194131,100,95.33489556593204,27.392094364299584,3.7122487339210797,43.66142174471006,97.81479247269137,1.41797676918002,63.91562004327446,3.4874589590652736,15.987242368575641,54.31135952878471
23.998945913727333,4.329275584558566,33.045495416183044,100,9.740259995113325,1.003659184961962,1.0418928720275213,3.3005204757553064,32.143665041366646,1.3998817301787652,1,18.063979717962713,22.948111788756687,5.862429466507037
8.254010137678577,1.4560732408013464,88.69870435294641,100,9.691651415714011,20.537851168370985,1,61.48898445460138,8.273156704085283,11.673107313965577,14.563492927619802,15.681814411890503,41.24981937010634,12.39757301834523
1,47.42361311895466,30.111664014908627,21.274650335000235,6.978717485622483,12.881218760160712,63.59178456533187,85.28820162279132,100,1.101943711871599,24.328828899641383,5.2489735003818705,95.12695729883315,59.85224169811575
1,3.2898059398395163,24.26463718292993,100,2.6994497094403167,25.97839953249607,22.218340582063867,36.66893558306282,51.1641123222186,12.222560940741742,26.168734910431994,1.2821824272099862,17.263601156614886,12.696994932843182
10.121454559501473,5.551821309518842,25.912924818707875,24.959529207717974,27.099576382347934,43.41374096902962,5.476104803553087,1.2602181253841216,35.88375534214163,1,6.39628801247187,1.279603208060636,100,24.881795228198634
1,3.3265168405093206,20.045512877029694,22.902655109354093,38.761164082426255,100,1.0313404970157034,13.942898310177966,84.59921963446759,7.217175555484836,16.655289111540934,38.07503980485111,95.86740248456053,7.50425702597898
14.880642636878644,11.011777291895374,100,6.441007572406862,1.2900730308349522,40.67694993338232,2.9714143703565696,19.794353450717093,8.295292629940928,1,1.554397928523509,12.605178159779324,1.0072218179116756,7.4394309162321814
2.7329381393629277,11.290809978770392,70.33704673486555,100,1,31.208681365765816,19.44243409656507,45.7777435751074,44.892508435742506,58.28459585411985,7.38428658880779,39.72701567018994,57.81569914231633,81.56389817835742
19.661338790763065,43.196995412694,74.0267824014842,99.84154397038996,17.893679421496348,1,2.5320993925150463,57.534939888931795,40.32985938121387,20.035495902517614,1.1534403143892362,17.591873775479687,49.68735349063954,100
19.98690461673155,44.434829407793444,80.01371122355326,70.23255980891935,79.55626022577835,100,1,44.02046028043758,48.95478682693469,5.095462281156642,4.565716841595693,5.500986676724426,89.04753324006545,61.1246827308004
43.158065508184414,71.36369836302062,61.265444596068455,41.784693958141425,1,69.87776694010307,8.5358096715798375,100,68.24610416650629,27.895532534891252,3.21794427494518,3.070301011798991,75.27622129187527,16.854052800649676
2.270243173065788,6.291593435860806,23.936454713369137,6.486238625452204,20.43060400132576,1,4.116986466623092,18.855081414650822,26.687294039505314,17.536613586041312,100,50.500842677784256,75.7588924903327,15.650951848339842
